measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1990,657440.0826499362,749091.2406464089,582099.224779951
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1990,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1990,20704.81337694382,23591.19066390363,18332.097683113065
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1991,663012.5332301408,758410.9777998097,585796.7939530252
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1991,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1991,20282.216088094516,23200.54986046455,17920.109444664282
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1993,684006.8336370366,782346.8583002574,602042.4031740486
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1993,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1993,19762.897844522562,22604.220132361515,17394.712928136087
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1992,672189.4893645924,765416.230899106,592236.5830416916
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1992,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1992,19983.251269585384,22754.75161376648,17606.36343949682
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1996,723079.8865178842,827716.3939747948,634162.6379042392
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1996,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1996,19243.999299279145,22028.788246841716,16877.561645681806
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1995,715385.9420514787,819105.3152011923,628823.1865237146
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1995,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1995,19553.275457092124,22388.18365729735,17187.30024893309
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1994,700765.0410898579,802910.3833410394,616537.1626531171
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1994,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1994,19685.50598862356,22554.916744999748,17319.422767924047
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1998,735142.9341923149,845360.743357922,638406.6206307282
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1998,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1998,18600.501624593624,21389.219903844223,16152.890590235536
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1997,726120.7727744081,836851.6650287694,634229.5406563325
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1997,1.0,1.0,1.0
