 Year,all_public, IMH
1987-01,18822,493
1987-02,19074,480
1987-03,22173,518
1987-04,19797,498
1987-05,19602,469
1987-06,21096,520
1987-07,21291,485
1987-08,20714,453
1987-09,20682,510
1987-10,21313,536
1987-11,21523,485
1987-12,21572,461
1988-01,21801,519
1988-02,19582,489
1988-03,23371,531
1988-04,22063,502
1988-05,22059,442
1988-06,22492,447
1988-07,22304,463
1988-08,22397,481
1988-09,22555,485
1988-10,23178,453
1988-11,22104,486
1988-12,21474,458
1989-01,21566,557
1989-02,18985,465
1989-03,22118,541
1989-04,21265,475
1989-05,21751,446
1989-06,21772,491
1989-07,21947,492
1989-08,21670,528
1989-09,21647,499
1989-10,22085,445
1989-11,21897,464
1989-12,20704,434
1990-01,20195,456
1990-02,19842,479
1990-03,21563,512
1990-04,20964,476
1990-05,22213,487
1990-06,21086,447
1990-07,22290,481
1990-08,22374,566
1990-09,21489,500
1990-10,23204,539
1990-11,22456,473
1990-12,21865,510
1991-01,22176,501
1991-02,18397,432
1991-03,21738,503
1991-04,21242,429
1991-05,22246,512
1991-06,21326,476
1991-07,22919,486
1991-08,21978,467
1991-09,22296,466
1991-10,22552,402
1991-11,21187,425
1991-12,21695,461
1992-01,22034,458
1992-02,19835,425
1992-03,22478,451
1992-04,21031,477
1992-05,22106,515
1992-06,22273,431
1992-07,23612,479
1992-08,23515,504
1992-09,22415,472
1992-10,22209,504
1992-11,21373,448
1992-12,22654,479
1993-01,20773,506
1993-02,20499,464
1993-03,21796,482
1993-04,21209,517
1993-05,21623,482
1993-06,22138,492
1993-07,22221,479
1993-08,21917,506
1993-09,21488,514
1993-10,21858,520
1993-11,21737,561
1993-12,22187,556
1994-01,22209,575
1994-02,18923,533
1994-03,22256,557
1994-04,21657,571
1994-05,21838,531
1994-06,21669,572
1994-07,21759,548
1994-08,21737,551
1994-09,21595,565
1994-10,21849,556
1994-11,20872,552
1994-12,21479,518
1995-01,20732,564
1995-02,20445,536
1995-03,22590,618
1995-04,21149,608
1995-05,23202,567
1995-06,22161,559
1995-07,22501,553
1995-08,22812,599
1995-09,22322,549
1995-10,23322,561
1995-11,22760,565
1995-12,22146,566
1996-01,23748,619
1996-02,19894,580
1996-03,23003,639
1996-04,22309,632
1996-05,23881,616
1996-06,22730,583
1996-07,24494,579
1996-08,23153,523
1996-09,23762,542
1996-10,24543,662
1996-11,22876,566
1996-12,23392,549
1997-01,23284,579
1997-02,19911,537
1997-03,23333,605
1997-04,23437,560
1997-05,23710,587
1997-06,22907,566
1997-07,23917,571
1997-08,22731,569
1997-09,22631,560
1997-10,23055,600
1997-11,23083,547
1997-12,23340,546
1998-01,21938,545
1998-02,22414,560
1998-03,24412,579
1998-04,23067,615
1998-05,23836,533
1998-06,23854,574
1998-07,24775,543
1998-08,24799,594
1998-09,24155,560
1998-10,23977,529
1998-11,23450,541
1998-12,23276,514
1999-01,24805,538
1999-02,21689,493
1999-03,25268,620
1999-04,23388,535
1999-05,23737,524
1999-06,23773,530
1999-07,24667,619
1999-08,24455,514
1999-09,24430,587
1999-10,25332,580
1999-11,24679,550
1999-12,24483,556
2000-01,25141,587
2000-02,24124,537
2000-03,26147,582
2000-04,25222,564
2000-05,26554,532
2000-06,24949,532
2000-07,25931,522
2000-08,25976,538
2000-09,25447,544
2000-10,26166,475
2000-11,25468,582
2000-12,24407,612
2001-01,25613,631
2001-02,24287,562
2001-03,26195,610
2001-04,25976,629
2001-05,26110,611
2001-06,24917,556
2001-07,26250,594
2001-08,25772,550
2001-09,24278,499
2001-10,26414,532
2001-11,24896,531
2001-12,23887,573
2002-01,25538,574
2002-02,22558,695
2002-03,26843,657
2002-04,26367,646
2002-05,26959,580
2002-06,25441,572
2002-07,26759,682
2002-08,26856,693
2002-09,25219,592
2002-10,26781,672
2002-11,25698,587
2002-12,25578,559
2003-01,28106,629
2003-02,22999,493
2003-03,26484,689
2003-04,16963,665
2003-05,16918,574
2003-06,18864,560
2003-07,21688,547
2003-08,22826,571
2003-09,23157,618
2003-10,24907,594
2003-11,23486,548
2003-12,24293,615
2004-01,22650,608
2004-02,23841,557
2004-03,26167,650
2004-04,25855,673
2004-05,25670,543
2004-06,25295,615
2004-07,27214,652
2004-08,26673,642
2004-09,26540,646
2004-10,27829,647
2004-11,25925,624
2004-12,27470,670
2005-01,26401,652
2005-02,23553,612
2005-03,27098,762
2005-04,25155,684
2005-05,25500,683
2005-06,26695,718
2005-07,27499,691
2005-08,27214,699
2005-09,27392,613
2005-10,27040,630
2005-11,25092,594
2005-12,26510,629
2006-01,24998,578
2006-02,23765,517
2006-03,27785,754
2006-04,25385,638
2006-05,26318,675
2006-06,27308,901
2006-07,27410,748
2006-08,27451,689
2006-09,26715,687
2006-10,26108,706
2006-11,26255,651
2006-12,26763,701
2007-01,26769,635
2007-02,23638,610
2007-03,28556,741
2007-04,26842,690
2007-05,28547,704
2007-06,27393,680
2007-07,27971,706
2007-08,28135,743
2007-09,26727,714
2007-10,27743,766
2007-11,27133,782
2007-12,26318,646
2008-01,27966,732
2008-02,25575,724
